id,name,year,release_date,genere,actors,crew,poster,images,details_table,scrap_date
1182,সাহেব বিবি গোলাম,১৯৭৭,"২২ এপ্রিল, ১৯৭৭",drama,"[{'p': '31', 'c': None}, {'p': '83', 'c': None}, {'p': '442', 'c': None}, {'p': '439', 'c': None}, {'p': '928', 'c': None}]","[{'i': 'সঙ্গীত পরিচালক', 'p': '79'}]",https://www.bmdb.com.bd/wp-content/uploads/2019/11/Saheb_Bibi_Golam-1.jpg,"[""https://www.bmdb.com.bd/wp-content/uploads/2019/11/Saheb_Bibi_Golam.jpg""]","[{'t': 'পরিচালকঃ', 'v': 'person/%e0%a6%b9%e0%a7%81%e0%a6%ae%e0%a6%be%e0%a7%9f%e0%a7%81%e0%a6%a8-%e0%a6%95%e0%a6%ac%e0%a7%80%e0%a6%b0'}, {'t': 'প্রযোজনাঃ', 'v': 'company/%e0%a6%b6%e0%a7%8b%e0%a6%ad%e0%a6%a8-%e0%a6%95%e0%a6%a5%e0%a6%be%e0%a6%9a%e0%a6%bf%e0%a6%a4%e0%a7%8d%e0%a6%b0'}]",2021-08-10 11:40
1183,ফরিয়াদ,১৯৭৭,"৬ মে, ১৯৭৭",drama,"[{'p': '19', 'c': None}, {'p': '163', 'c': None}, {'p': '2735', 'c': None}, {'p': '1267', 'c': None}]",,,[],"[{'t': 'পরিচালকঃ', 'v': 'person/101'}]",2021-08-10 11:40
1184,অনুভব,১৯৭৭,"১৩ মে, ১৯৭৭",romantic,"[{'p': '31', 'c': None}, {'p': '85', 'c': None}, {'p': '1295', 'c': None}, {'p': '422', 'c': None}, {'p': '2746', 'c': None}, {'p': '1647', 'c': None}, {'p': '2429', 'c': None}, {'p': '911', 'c': None}, {'p': '%e0%a6%93%e0%a6%ac%e0%a6%be%e0%a7%9f%e0%a6%a6%e0%a7%81%e0%a6%b2-%e0%a6%b9%e0%a6%95-%e0%a6%b8%e0%a6%b0%e0%a6%95%e0%a6%be%e0%a6%b0', 'c': None}]","[{'i': 'সঙ্গীত পরিচালক', 'p': '807'}]",https://www.bmdb.com.bd/wp-content/uploads/2019/11/Onuvob-1.jpg,"[""https://www.bmdb.com.bd/wp-content/uploads/2019/11/Onuvob.jpg""]","[{'t': 'পরিচালকঃ', 'v': 'person/52'}, {'t': 'প্রযোজনাঃ', 'v': 'company/%e0%a6%8f%e0%a6%95%e0%a6%a4%e0%a6%be-%e0%a6%9a%e0%a6%b2%e0%a6%9a%e0%a7%8d%e0%a6%9a%e0%a6%bf%e0%a6%a4%e0%a7%8d%e0%a6%b0'}, {'t': 'পরিবেশকঃ', 'v': 'company/%e0%a6%8f%e0%a6%95%e0%a6%a4%e0%a6%be-%e0%a6%9a%e0%a6%b2%e0%a6%9a%e0%a7%8d%e0%a6%9a%e0%a6%bf%e0%a6%a4%e0%a7%8d%e0%a6%b0'}]",2021-08-10 11:40
1185,তালাশ,১৯৭৭,"২০ মে, ১৯৭৭",romantic,"[{'p': '5', 'c': None}, {'p': '30', 'c': None}, {'p': '100', 'c': None}, {'p': '300', 'c': None}]","[{'i': 'কাহিনী', 'p': '88'}, {'i': 'চিত্রনাট্য', 'p': '88'}, {'i': 'সঙ্গীত পরিচালক', 'p': '32'}]",https://www.bmdb.com.bd/wp-content/uploads/2019/11/talaash-1.jpg,"[""https://www.bmdb.com.bd/wp-content/uploads/2019/11/talaash.jpg""]","[{'t': 'পরিচালকঃ', 'v': 'person/88'}, {'t': 'প্রযোজকঃ', 'v': 'person/87'}]",2021-08-10 11:40
1186,মা,১৯৭৭,"২৭ মে, ১৯৭৭",drama,"[{'p': '148', 'c': None}, {'p': '22', 'c': None}, {'p': '56', 'c': None}, {'p': '439', 'c': None}, {'p': '121', 'c': None}, {'p': '%e0%a6%a8%e0%a6%be%e0%a6%b0%e0%a7%8d%e0%a6%97%e0%a6%bf%e0%a6%b8', 'c': None}, {'p': '2429', 'c': None}, {'p': '1265', 'c': None}, {'p': '1267', 'c': None}, {'p': '468', 'c': None}]","[{'i': 'সঙ্গীত পরিচালক', 'p': '807'}]",,[],"[{'t': 'পরিচালকঃ', 'v': 'person/1837'}, {'t': 'পরিবেশকঃ', 'v': 'company/78'}]",2021-08-10 11:40
1187,রক্ত শপথ,১৯৭৭,"৩ জুন, ১৯৭৭",action,"[{'p': '19', 'c': None}, {'p': '83', 'c': None}, {'p': '%e0%a6%95%e0%a6%be%e0%a7%9f%e0%a7%87%e0%a6%b8', 'c': None}, {'p': '1498', 'c': None}, {'p': '921', 'c': None}, {'p': '2746', 'c': None}]","[{'i': 'সঙ্গীত পরিচালক', 'p': '1558'}]",https://www.bmdb.com.bd/wp-content/uploads/2019/11/Rokto_Sopoth-1.jpg,"[""https://www.bmdb.com.bd/wp-content/uploads/2019/11/Rokto_Sopoth.jpg""]","[{'t': 'পরিচালকঃ', 'v': 'person/%e0%a6%ae%e0%a6%be%e0%a6%b2%e0%a6%bf%e0%a6%95-%e0%a6%ae%e0%a6%9c%e0%a6%bf%e0%a6%a6'}]",2021-08-10 11:40
1188,অবসান,১৯৭৭,"১০ জুন, ১৯৭৭",drama,"[{'p': '2563', 'c': None}, {'p': '442', 'c': None}, {'p': '163', 'c': None}, {'p': '840', 'c': None}]",,,[],"[{'t': 'পরিচালকঃ', 'v': 'person/2563'}]",2021-08-10 11:40
1189,উজ্জ্বল সূর্যের নীচে,১৯৭৭,"১ জুলাই, ১৯৭৭",romantic,"[{'p': '%e0%a6%a8%e0%a6%be%e0%a6%a6%e0%a6%bf%e0%a6%ae-%e0%a6%ac%e0%a7%87%e0%a6%97', 'c': None}, {'p': '22', 'c': None}]",,,[],"[{'t': 'পরিচালকঃ', 'v': 'person/24'}]",2021-08-10 11:40
1190,দোস্ত দুশমন,১৯৭৭,"১৫ জুলাই, ১৯৭৭",action,"[{'p': '148', 'c': 'জনি'}, {'p': '37', 'c': 'রাজা'}, {'p': '31', 'c': 'চুমকি'}, {'p': '149', 'c': None}, {'p': '55', 'c': 'জাফর'}, {'p': '2078', 'c': 'গাফফার খান'}, {'p': '100', 'c': 'ইনস্পেক্টর'}, {'p': '1834', 'c': 'খালা'}]","[{'i': 'সংলাপ', 'p': '%e0%a6%b0%e0%a6%be%e0%a6%9c%e0%a7%81-%e0%a6%b8%e0%a6%bf%e0%a6%b0%e0%a6%be%e0%a6%9c'}, {'i': 'সঙ্গীত পরিচালক', 'p': '427'}, {'i': 'গীতিকার', 'p': '1410'}]",https://www.bmdb.com.bd/wp-content/uploads/2019/11/dost-dushman-1.jpg,"[""https://www.bmdb.com.bd/wp-content/uploads/2019/11/dost-dushman.jpg""]","[{'t': 'পরিচালকঃ', 'v': 'person/1410'}]",2021-08-10 11:40
1191,চকোরী,১৯৭৭,"২৯ জুলাই, ১৯৭৭",romantic,"[{'p': '%e0%a6%a8%e0%a6%be%e0%a6%a6%e0%a6%bf%e0%a6%ae-%e0%a6%ac%e0%a7%87%e0%a6%97', 'c': None}, {'p': '31', 'c': None}, {'p': '2349', 'c': None}, {'p': '2256', 'c': None}, {'p': '2589', 'c': None}]","[{'i': 'সঙ্গীত পরিচালক', 'p': '32'}]",https://www.bmdb.com.bd/wp-content/uploads/2019/11/chokori-1.jpg,"[""https://www.bmdb.com.bd/wp-content/uploads/2019/11/chokori.jpg""]","[{'t': 'পরিচালকঃ', 'v': 'person/87'}]",2021-08-10 11:40
